2025-02-26 at 16:07:18 | INFO | Обновление успешно обработано.
2025-02-26 at 16:07:22 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:07:22 | INFO | Обновление успешно обработано.
2025-02-26 at 16:07:24 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:07:24 | INFO | Обновление успешно обработано.
2025-02-26 at 16:07:28 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:07:28 | INFO | Добавление записи User с параметрами: {'id': 103758101, 'age': 35, 'nickname': 'Саша', 'username': 'Sasha_Lamish', 'first_name': 'Sasha', 'last_name': None, 'gender': 'woman'}
2025-02-26 at 16:07:28 | INFO | Запись User успешно добавлена.
2025-02-26 at 16:07:28 | INFO | Обновление успешно обработано.
2025-02-26 at 16:07:31 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:07:32 | INFO | Запись User с ID 103758101 найдена.
2025-02-26 at 16:07:32 | INFO | Обновление успешно обработано.
2025-02-26 at 16:15:30 | INFO | Бот остановлен...
2025-02-26 at 16:15:30 | ERROR | Бот остановлен!
2025-02-26 at 16:15:38 | INFO | Бот запущен...
2025-02-26 at 16:15:38 | INFO | Бот успешно запущен.
2025-02-26 at 16:15:38 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 16:15:44 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:15:44 | INFO | Запись User с ID 5127841744 не найдена.
2025-02-26 at 16:15:44 | INFO | Обновление успешно обработано.
2025-02-26 at 16:15:47 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:15:48 | INFO | Обновление успешно обработано.
2025-02-26 at 16:15:50 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:15:50 | INFO | Обновление успешно обработано.
2025-02-26 at 16:15:51 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:15:51 | INFO | Обновление успешно обработано.
2025-02-26 at 16:15:52 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:15:52 | INFO | Добавление записи User с параметрами: {'id': 5127841744, 'age': 22, 'nickname': 'Алекс', 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko', 'gender': 'man'}
2025-02-26 at 16:15:52 | INFO | Запись User успешно добавлена.
2025-02-26 at 16:15:53 | INFO | Обновление успешно обработано.
2025-02-26 at 16:15:55 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:15:55 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 16:15:55 | INFO | Обновление успешно обработано.
2025-02-26 at 16:48:28 | INFO | Бот остановлен...
2025-02-26 at 16:48:29 | ERROR | Бот остановлен!
2025-02-26 at 16:48:36 | INFO | Бот запущен...
2025-02-26 at 16:48:36 | SUCCESS | Подключение к Redis успешно!
2025-02-26 at 16:48:37 | INFO | Бот успешно запущен.
2025-02-26 at 16:48:37 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 16:50:32 | INFO | Бот остановлен...
2025-02-26 at 16:50:32 | ERROR | Бот остановлен!
